Log-Kategorie,Ordner,Dateiname,Datum,Zeit,Severity,Type/Source,Description
rx_logs,,utility-27110.log,Fri 24.Oct. ,12:41:43.229,error,transferring file from 'D:\UnrealProjects\GH_UNREAL_GLAA_202412091003\HOUS_GLAA\Saved\Config\Windows\VariantManagerContent.ini' to '<bundling>D:\UnrealProjects\GH_UNREAL_GLAA_202412091003\HOUS_GLAA\Saved\Config\Windows\VariantManagerContent.ini' failed: copying failed (LocalHost: error reading src file),
rx_logs,,utility-27110.log,Fri 24.Oct. ,12:41:43.252,error,transferring file from 'D:\UnrealProjects\GH_UNREAL_GLAA_202412091003\HOUS_GLAA\Saved\Config\Windows\MediaIOFramework.ini' to '<bundling>D:\UnrealProjects\GH_UNREAL_GLAA_202412091003\HOUS_GLAA\Saved\Config\Windows\MediaIOFramework.ini' failed: copying failed (LocalHost: error reading src file),
rx_logs,,utility-27110.log,Mon 27.Oct. ,23:20:18.995,error,22x 'End of file',
rx_logs,,utility-27110.log,Mon 27.Oct. ,23:34:19.799,error,11x 'End of file',
pixera_hub_logs,Overlay\logs,Overlay_2025-10-16.log,2025-10-17,01:46:31.914,error,App.UpdateOverlay,"Error generating entries
Exception: A task was canceled."
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,01:36:18.790,error,21552x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_LOOP_5476x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_LOOP_5476x1416_202510032056.mov' failed',
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,01:37:18.844,error,72x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_OUT_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_OUT_5760x1416_202510032056.mov' failed',
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,01:37:18.844,error,21546x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202510032056.mov' failed',
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,01:38:18.896,error,21540x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_LOOP_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_LOOP_5760x1416_202510032056.mov' failed',
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,01:39:18.948,error,12x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_OUT_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_OUT_5760x1416_202510032056.mov' failed',
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,01:39:18.948,error,3966x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_LOOP_5476x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_LOOP_5476x1416_202510032056.mov' failed',
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:18:59.721,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_IN_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_IN_5760x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:18:59.721,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_IN_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_IN_5760x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:18:59.721,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_IN_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_IN_5760x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:18:59.722,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_IN_5476x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_IN_5476x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:18:59.722,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP3_TERA_IN_5476x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP3_TERA_IN_5476x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:12.721,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:12.737,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_LOOP_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_LOOP_5760x1416_202510032056.mov' failed,
