Log-Kategorie,Ordner,Dateiname,Fehler-Kategorie,Datum,Zeit,Severity,Type/Source,Description
rx_logs,,file_6.log,Datei,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'Data/.../*.png' to '<bundling>Data/.../*.png' failed: copying failed (finalizing: destination file not open),
rx_logs,,file_6.log,Datei,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'Data/.../*.png' to '<bundling>Data/.../*.png' failed: copying failed (finalizing: destination file not open),
rx_logs,,file_6.log,Datei,Fri 24.Oct. ,12:41:39.934,error,14x similar to 'transferring file from 'Data/.../*.png' to '<bundling>Data/.../*.png' failed: copying failed (finalizing: destination file not open)',
rx_logs,,file_6.log,Datei,Mon 27.Oct. ,23:20:18.995,error,22x 'End of file',
rx_logs,,file_6.log,Datei,Mon 27.Oct. ,23:34:19.799,error,11x 'End of file',
pixera_hub_logs,folder_1\logs,file_7.log,Sonstige,2025-10-17,01:46:31.914,error,App.UpdateOverlay,"Error generating entries
Exception: A task was canceled."
pixera_logs,,file_8.txt,Netzwerk,Wed 08.Oct. ,01:36:18.790,error,21552x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP6_TERA_LOOP_5476x1416_202510032056.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP6_TERA_LOOP_5476x1416_202510032056.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Wed 08.Oct. ,01:37:18.844,error,72x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_OUT_5760x1416_202510032056.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_OUT_5760x1416_202510032056.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Wed 08.Oct. ,01:37:18.844,error,21546x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_LOOP_5760x1416_202510032056.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_LOOP_5760x1416_202510032056.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Wed 08.Oct. ,01:38:18.896,error,21540x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP5_TERA_LOOP_5760x1416_202510032056.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP5_TERA_LOOP_5760x1416_202510032056.mov' failed',
